timestamp,pred_label,pred_pct,p_sakana,p_shakana,p_takana,p_thakana,p_tyakana
2026-02-04 18:51:28,takana,33.8,12.770,17.768,33.800,21.132,14.530
2026-02-04 18:51:34,takana,44.9,9.414,14.944,44.909,14.158,16.574
2026-02-04 18:57:39,thakana,33.2,21.814,10.206,17.761,33.158,17.061
2026-02-04 18:57:56,takana,60.1,10.796,6.709,60.059,10.665,11.770
2026-02-04 18:58:02,tyakana,44.4,7.524,8.770,32.087,7.174,44.444
2026-02-04 18:58:17,tyakana,32.5,8.611,16.439,27.878,14.580,32.493
2026-02-04 18:58:20,takana,42.0,13.940,9.294,42.029,26.703,8.034
2026-02-04 18:58:25,takana,36.0,10.789,19.671,35.963,16.926,16.651
2026-02-04 18:58:29,takana,35.8,10.674,18.366,35.774,17.317,17.869
2026-02-04 18:59:34,tyakana,42.0,8.246,11.809,26.048,11.905,41.992
2026-02-04 18:59:38,takana,33.4,13.688,15.087,33.429,23.161,14.635
2026-02-04 18:59:44,takana,34.5,14.035,13.613,34.501,24.853,12.998
2026-02-04 18:59:50,takana,36.9,11.288,10.680,36.857,24.262,16.913
2026-02-04 18:59:53,tyakana,38.8,6.757,19.842,24.080,10.515,38.806
2026-02-04 18:59:59,thakana,32.5,12.819,12.936,29.554,32.490,12.201
2026-02-04 19:00:34,takana,51.3,11.814,10.562,51.305,14.286,12.033
2026-02-04 19:06:00,takana,29.9,29.561,6.962,29.932,27.466,6.079
2026-02-04 19:06:19,takana,33.1,17.034,10.024,33.102,30.487,9.353
2026-02-04 19:06:27,takana,34.9,12.705,17.327,34.906,15.601,19.460
2026-02-04 19:06:36,sakana,44.6,44.605,4.758,26.561,20.444,3.631
2026-02-04 19:06:43,takana,31.8,13.561,12.360,31.779,30.593,11.707
2026-02-04 19:06:50,thakana,31.4,28.833,5.051,30.669,31.379,4.069
2026-02-04 19:07:01,takana,32.3,13.818,13.734,32.289,26.921,13.238
2026-02-04 19:07:09,sakana,35.4,35.413,7.072,24.320,25.681,7.513
2026-02-04 19:07:17,thakana,32.1,16.201,10.590,31.310,32.096,9.803
2026-02-04 19:07:25,sakana,37.7,37.748,5.584,30.413,21.710,4.546
2026-02-04 19:12:53,takana,33.0,14.045,11.669,33.016,30.281,10.990
2026-02-04 19:13:05,takana,31.8,13.430,14.591,31.842,26.039,14.098
2026-02-04 19:13:09,takana,35.9,15.553,10.260,35.894,29.151,9.142
2026-02-04 19:13:14,takana,35.5,34.389,5.656,35.516,21.068,3.371
2026-02-04 19:13:19,takana,32.1,13.705,13.747,32.147,27.259,13.142
2026-02-04 19:13:23,takana,53.0,23.068,6.248,52.986,14.530,3.168
2026-02-04 19:13:53,takana,34.4,13.431,13.892,34.430,24.876,13.370
2026-02-04 19:14:07,takana,33.3,13.456,15.400,33.253,22.920,14.971
2026-02-04 19:14:13,takana,34.1,15.004,11.378,34.070,28.940,10.607
2026-02-04 19:14:17,takana,35.2,12.787,14.441,35.212,23.584,13.976
2026-02-04 19:14:22,takana,44.7,13.458,6.925,44.683,29.127,5.808
2026-02-04 19:14:45,takana,33.2,13.383,15.255,33.196,23.340,14.826
2026-02-04 19:14:52,sakana,30.4,30.373,7.658,29.240,27.283,5.446
2026-02-04 19:14:58,takana,32.8,14.275,12.291,32.789,29.158,11.487
2026-02-04 19:15:02,sakana,44.0,44.016,5.093,18.752,27.912,4.227
2026-02-04 19:15:07,takana,33.4,13.142,12.217,33.363,29.727,11.552
2026-02-04 19:15:10,sakana,57.6,57.600,4.989,12.605,21.773,3.032
2026-02-04 19:15:14,thakana,34.7,15.286,10.316,30.516,34.720,9.162
2026-02-04 19:15:18,tyakana,49.3,11.102,9.146,14.298,16.164,49.291
2026-02-04 19:15:25,takana,32.5,13.487,13.055,32.515,28.522,12.420
2026-02-04 19:15:28,sakana,40.4,40.374,4.720,28.529,22.774,3.604
2026-02-04 19:15:42,takana,36.7,16.260,9.223,36.680,29.987,7.850
2026-02-04 19:15:46,takana,44.7,26.276,6.139,44.710,18.084,4.791
2026-02-04 19:15:58,thakana,32.5,12.594,11.874,31.909,32.494,11.129
2026-02-04 19:16:04,takana,41.1,16.549,9.693,41.132,25.027,7.599
2026-02-04 19:16:10,takana,53.9,19.076,5.500,53.872,18.201,3.351
2026-02-04 19:16:17,sakana,63.3,63.309,7.095,19.439,6.148,4.008
2026-02-04 19:16:22,takana,33.7,13.076,14.345,33.722,25.008,13.848
2026-02-04 19:16:26,thakana,41.4,27.454,7.451,18.293,41.381,5.422
2026-02-04 19:16:30,sakana,37.2,37.220,9.900,22.377,25.834,4.669
2026-02-04 19:16:34,takana,43.4,11.775,9.625,43.446,26.624,8.531
2026-02-04 19:16:38,sakana,55.1,55.108,8.910,10.779,20.917,4.286
2026-02-04 21:34:40,takana,30.8,12.224,18.783,30.834,19.642,18.518
2026-02-04 21:34:44,takana,33.3,13.485,15.432,33.259,22.822,15.002
2026-02-04 21:34:48,takana,29.1,10.060,20.028,29.137,14.717,26.058
2026-02-04 21:34:52,tyakana,33.7,14.960,14.770,19.913,16.633,33.725
