epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
34,12744.6,1.119,0.59459,1,1.03012,0.000748036,0.000748036,0.000748036
35,13120.5,1.06969,0.51351,1,1.20892,0.000737037,0.000737037,0.000737037
36,13496.2,1.07281,0.51351,1,1.39199,0.000726038,0.000726038,0.000726038
37,13872.9,1.00568,0.60811,1,1.23682,0.00071504,0.00071504,0.00071504
38,14249.5,1.00696,0.55405,1,0.99989,0.000704041,0.000704041,0.000704041
39,14627.7,0.95988,0.52703,1,1.12909,0.000693042,0.000693042,0.000693042
40,15005.6,1.00828,0.63514,1,0.97107,0.000682043,0.000682043,0.000682043
41,15381.3,1.05113,0.5,1,1.24619,0.000671044,0.000671044,0.000671044
42,15758.7,0.93435,0.59459,1,1.06969,0.000660045,0.000660045,0.000660045
43,16133,0.97654,0.55405,1,1.01998,0.000649046,0.000649046,0.000649046
44,16509.6,0.92919,0.60811,1,0.99665,0.000638047,0.000638047,0.000638047
45,16888.9,1.01693,0.54054,1,1.13099,0.000627048,0.000627048,0.000627048
46,17266.2,0.97598,0.5,1,1.36713,0.000616049,0.000616049,0.000616049
47,17642.5,0.91086,0.54054,1,1.24836,0.000605051,0.000605051,0.000605051
48,18018.6,1.03964,0.56757,1,0.92221,0.000594052,0.000594052,0.000594052
49,18396.1,0.87104,0.59459,1,1.10829,0.000583053,0.000583053,0.000583053
50,18772.7,0.86235,0.59459,1,0.97351,0.000572054,0.000572054,0.000572054
51,19148,0.86855,0.64865,1,0.83856,0.000561055,0.000561055,0.000561055
52,19525.1,0.91683,0.60811,1,1.05055,0.000550056,0.000550056,0.000550056
53,19900.6,0.88843,0.66216,1,0.96311,0.000539057,0.000539057,0.000539057
54,20281,0.85248,0.64865,1,0.82961,0.000528058,0.000528058,0.000528058
55,20656.7,0.84609,0.67568,1,0.73597,0.000517059,0.000517059,0.000517059
56,21033.4,0.78598,0.60811,1,0.84066,0.00050606,0.00050606,0.00050606
57,21409.2,0.77996,0.68919,1,0.83881,0.000495062,0.000495062,0.000495062
58,21786.1,0.9233,0.64865,1,0.76271,0.000484063,0.000484063,0.000484063
59,22163.4,0.74254,0.67568,1,0.70174,0.000473064,0.000473064,0.000473064
60,22539,0.81289,0.68919,1,0.75021,0.000462065,0.000462065,0.000462065
61,22914.9,0.80665,0.74324,1,0.66589,0.000451066,0.000451066,0.000451066
62,23290.1,0.77478,0.67568,1,0.84557,0.000440067,0.000440067,0.000440067
63,23668.4,0.81222,0.56757,1,0.96388,0.000429068,0.000429068,0.000429068
64,24047.6,0.77401,0.68919,1,0.70506,0.000418069,0.000418069,0.000418069
65,24428.3,0.77893,0.68919,1,0.79891,0.00040707,0.00040707,0.00040707
66,24806.1,0.77586,0.66216,1,0.67899,0.000396071,0.000396071,0.000396071
67,25184.7,0.70426,0.66216,1,0.815,0.000385073,0.000385073,0.000385073
68,25563.7,0.68796,0.67568,1,0.81795,0.000374074,0.000374074,0.000374074
69,25942.9,0.70792,0.74324,1,0.62443,0.000363075,0.000363075,0.000363075
70,26317.8,0.73181,0.68919,1,0.66235,0.000352076,0.000352076,0.000352076
71,26695.1,0.69173,0.75676,1,0.562,0.000341077,0.000341077,0.000341077
72,27070.4,0.72948,0.77027,1,0.6959,0.000330078,0.000330078,0.000330078
73,27445.4,0.69062,0.68919,1,0.65866,0.000319079,0.000319079,0.000319079
74,27823,0.77904,0.66216,1,0.80023,0.00030808,0.00030808,0.00030808
75,28201.8,0.70714,0.7027,1,0.63799,0.000297081,0.000297081,0.000297081
76,28579.7,0.65656,0.68919,1,0.85586,0.000286083,0.000286083,0.000286083
77,28958,0.7313,0.7027,1,0.78972,0.000275084,0.000275084,0.000275084
78,29336.7,0.78824,0.72973,1,0.7527,0.000264085,0.000264085,0.000264085
79,29712.9,0.71729,0.68919,1,0.75087,0.000253086,0.000253086,0.000253086
80,30090,0.66295,0.7027,1,0.78253,0.000242087,0.000242087,0.000242087
81,30464.9,0.6742,0.72973,1,0.62511,0.000231088,0.000231088,0.000231088
82,30840.5,0.70711,0.72973,1,0.75376,0.000220089,0.000220089,0.000220089
83,31216.1,0.6699,0.75676,1,0.57174,0.00020909,0.00020909,0.00020909
84,31596.6,0.76889,0.75676,1,0.53038,0.000198091,0.000198091,0.000198091
85,31974.2,0.71851,0.71622,1,0.67176,0.000187092,0.000187092,0.000187092
86,32351.8,0.67631,0.67568,1,0.8356,0.000176094,0.000176094,0.000176094
87,32731.1,0.65423,0.63514,1,0.7337,0.000165095,0.000165095,0.000165095
88,33109,0.69614,0.68919,1,0.63259,0.000154096,0.000154096,0.000154096
89,33484.6,0.72609,0.72973,1,0.6859,0.000143097,0.000143097,0.000143097
90,33861.4,0.62027,0.7027,1,0.58547,0.000132098,0.000132098,0.000132098
91,34240.6,0.70345,0.68919,1,0.72874,0.000121099,0.000121099,0.000121099
92,34618.7,0.62789,0.66216,1,0.77771,0.0001101,0.0001101,0.0001101
93,34997.4,0.69252,0.66216,1,0.7566,9.91012e-05,9.91012e-05,9.91012e-05
94,35375.7,0.6146,0.67568,1,0.60776,8.81023e-05,8.81023e-05,8.81023e-05
95,35752.4,0.64544,0.68919,1,0.62444,7.71034e-05,7.71034e-05,7.71034e-05
96,36127.9,0.58154,0.7027,1,0.57906,6.61045e-05,6.61045e-05,6.61045e-05
97,36503.5,0.66223,0.68919,1,0.68508,5.51056e-05,5.51056e-05,5.51056e-05
98,36879.8,0.55067,0.7027,1,0.7524,4.41067e-05,4.41067e-05,4.41067e-05
99,37254.2,0.70991,0.7027,1,0.65452,3.31078e-05,3.31078e-05,3.31078e-05
100,37627.5,0.59638,0.7027,1,0.66638,2.21089e-05,2.21089e-05,2.21089e-05
